Plot_Code,Stem_number,Species,DBH_cm,Condition,Biomass,,
SK01,2,european hornbeam,26.3,A,"298,50",,
SK01,3,wych elm,35,A,"635,01",,
SK01,4,european beech,67.8,A,"3741,95",,
SK01,5,european hornbeam,73.4,A,"4490,82",,
SK01,6,woodland hawthorn,34.7,A,"620,73",,
SK01,7,european oak,93.5,A,"1889,38",,
SK01,8,silver birch,11,A,"40,45",,
SK01,9,european beech,24.5,A,"424,15",,
SK01,10,european beech,46.7,A,"1685,65",,
SK01,11,woodland hawthorn,54.8,A,"2075,35",,
SK01,12,silver birch,55.9,A,"1664,08",,
SK01,13,european beech,22.3,A,"346,83",,
SK01,14,scots pine,46.1,A,"1314,55",,
SK01,15,european beech,10.8,A,"73,55",,
SK01,16,wych elm,52.3,A,"1834,54",,
SK01,17,woodland hawthorn,21.1,A,"166,82",,
SK01,18,woodland hawthorn,18.7,A,"121,26",,
SK01,19,silver birch,55.6,A,"1643,73",,
SK01,20,european beech,34.5,A,"882,05",,
SK01,21,woodland hawthorn,23.5,A,"221,72",,
SK01,22,european beech,70,A,"4006,48",,
SK01,23,european beech,12.5,A,"100,55",,
SK01,24,wych elm,37.7,A,"772,72",,
SK01,25,silver birch,71,D,"2874,80",,
SK01,26,european beech,35.6,A,"943,30",,
SK01,27,european hornbeam,53.2,A,"1919,11",,
SK01,28,european aspen,31.1,A,"326,77",,
SK01,29,wych elm,45.7,A,"1284,63",,
SK01,30,european beech,55.2,A,"2410,49",,
SK01,31,european oak,102.4,A,"2266,18",,
SK01,32,european hornbeam,65.7,A,"3351,14",,
SK01,33,wych elm,24.5,A,"247,53",,
SK01,34,wych elm,46.9,A,"1375,66",,
SK01,35,european beech,33.2,A,"812,48",,
SK01,36,silver birch,35,A,"570,49",,
SK01,37,european beech,65.7,A,"3498,41",,
SK01,38,scots pine,32.1,D,"336,67",,
SK01,39,woodland hawthorn,26.7,A,"310,64",,
SK01,40,european beech,31.9,A,"497,04",,
SK01,41,silver birch,71.4,A,"2911,97",,
SK01,42,european aspen,56.7,A,"1506,73",,
SK01,43,wych elm,34.5,A,"611,32",,
SK01,44,wych elm,32.7,A,"530,64",,
SK01,45,wych elm,44,A,"1162,23",,
SK01,46,european beech,16.7,A,"186,85",,
SK01,47,european oak,90.1,A,"1754,46",,
SK01,48,european beech,34.1,A,"860,32",,
SK01,49,wych elm,18.9,A,"124,72",,
SK01,50,european oak,68.2,A,"1005,23",,
SK01,51,woodland hawthorn,44.5,A,"1197,44",,
SK01,52,european aspen,37.8,A,"536,89",,
SK01,53,european beech,44.7,A,"1534,99",,
SK01,54,wych elm,32.5,D,"522,11",,
SK01,55,silver birch,25.9,D,"286,59",,
SK01,56,european beech,43.4,A,"1441,08",,
SK01,57,european beech,54.6,A,"2354,80",,
SK01,58,european beech,33.6,A,"833,56",,
SK01,59,wych elm,19.8,A,"141,02",,
SK01,60,european beech,25.7,D,"469,83",,
SK01,61,wych elm,44.2,A,"1176,24",,
SK01,62,european hornbeam,13.7,A,"53,31",,
SK01,63,european oak,82.1,A,"1456,74",,
SK01,64,european beech,55.6,A,"2448,01",,
SK01,65,european beech,47.9,A,"1779,66",,
SK01,66,european beech,54,A,"2299,79",,
SK01,67,silver birch,43.6,A,"942,79",,
SK01,68,european beech,44.7,A,"1534,99",,
SK01,69,wych elm,54.7,A,"2065,36",,
SK01,70,wych elm,32.9,A,"539,26",,
SK01,71,european hornbeam,14.8,D,"65,37",,
SK01,72,european aspen,33.6,A,"397,83",,
SK01,73,european beech,37.8,A,"1072,39",,
SK01,74,european beech,43,A,"1412,82",,
SK01,75,woodland hawthorn,11.6,A,"34,35",,
SK01,76,european beech,21.4,A,"317,58",,
SK01,77,wych elm,44.6,D,"1204,56",,
SK01,78,european beech,32.9,A,"796,86",,
SK01,79,european oak,84.6,A,"1546,81",,
SK01,80,wych elm,67.8,A,"3641,55",,
SK01,81,european oak,66.7,A,"961,49",,
SK01,82,european beech,43.6,A,"1455,32",,
SK01,83,european beech,65.7,A,"3498,41",,
SK01,84,european beech,45.3,A,"1579,40",,
SK01,85,european beech,26.7,A,"509,81",,
SK01,86,wych elm,66.9,A,"3515,25",,
SK01,87,european aspen,43.1,A,"749,74",,
SK01,88,silver birch,43.5,A,"937,85",,
SK01,89,european beech,37.6,A,"1060,29",,
SK01,90,european hornbeam,15.7,D,"76,41",,
SK01,91,wych elm,44.7,A,"1211,71",,
SK01,92,wych elm,34.9,A,"630,22",,
SK01,93,european beech,32.4,A,"771,18",,
SK01,94,european beech,27.8,A,"555,79",,
SK01,95,wych elm,48.6,A,"1511,32",,
SK01,96,european beech,53.4,A,"2245,48",,
SK01,97,woodland hawthorn,22.5,A,"197,67",,
SK01,98,european beech,29.8,A,"644,83",,
SK01,99,european beech,46.3,A,"1654,92",,
SK01,100,wych elm,61.1,A,"2766,46",,
SK01,101,european aspen,32.1,A,"354,18",,
SK01,102,woodland hawthorn,24,A,"234,40",,
SK01,103,wych elm,47.6,A,"1430,56",,
SK01,104,wych elm,57.2,A,"2324,14",,
SK01,105,european oak,91.1,A,"1793,63",,
SK01,106,european beech,87.9,A,"6520,64",,
SK01,107,european aspen,41.2,A,"668,47",,
SK01,108,wych elm,33.7,A,"574,59",,
SK01,109,european hornbeam,18.7,A,"121,26",,
SK01,110,scots pine,67.7,A,"1746,33",,
SK01,111,woodland hawthorn,23.4,A,"219,24",,
SK01,112,silver birch,33.5,A,"565,63",,
SK01,113,wych elm,73.6,A,"4523,21",,
SK01,114,european beech,42.1,A,"1350,32",,
SK01,115,european beech,29.8,A,"644,83",,
SK01,116,european beech,32.1,A,"755,98",,
SK01,117,european beech,43.5,A,"1448,19",,
SK01,118,wych elm,46,A,"1307,03",,
SK01,119,european beech,52.4,A,"2156,49",,
SK01,120,wych elm,34.7,A,"620,73",,
SK01,121,wych elm,51.1,A,"1725,44",,
SK01,122,european aspen,39.9,A,"616,09",,
SK01,123,european oak,87.6,A,"1658,45",,
SK01,124,european beech,46.7,A,"1685,65",,
SK01,125,european hornbeam,16.8,A,"91,37",,
SK01,126,european beech,23.9,A,"402,25",,
SK02,1,european aspen,37.8,A,"536,89",,
SK02,2,wych elm,22.5,A,"197,67",,
SK02,3,silver birch,18.9,A,"139,44",,
SK02,4,european beech,67.7,A,"3730,16",,
SK02,5,european beech,89,A,"6696,43",,
SK02,6,european beech,17.4,A,"204,00",,
SK02,7,woodland hawthorn,44.4,A,"1190,35",,
SK02,8,silver birch,56.7,A,"1719,03",,
SK02,9,european beech,82,A,"5620,13",,
SK02,10,wych elm,44.1,A,"1169,22",,
SK02,11,wych elm,14.5,A,"61,93",,
SK02,12,wych elm,16.5,A,"87,12",,
SK02,13,wych elm,45.9,A,"1299,53",,
SK02,14,european hornbeam,51.2,A,"1734,37",,
SK02,15,european aspen,19.8,A,"103,56",,
SK02,16,european beech,28.7,A,"594,99",,
SK02,17,european beech,43,A,"1412,82",,
SK02,18,woodland hawthorn,11.3,A,"32,05",,
SK02,19,european beech,46.8,A,"1693,38",,
SK02,20,wych elm,33.4,A,"561,18",,
SK02,21,european oak,87.9,D,"1669,83",,
SK02,22,european beech,47.4,A,"1740,16",,
SK02,23,wych elm,55.2,A,"2115,60",,
SK02,24,european beech,32.2,A,"761,03",,
SK02,25,european beech,15.6,A,"161,51",,
SK02,26,wych elm,67.1,A,"3543,08",,
SK02,27,european hornbeam,44.7,A,"1211,71",,
SK02,28,european aspen,15.9,A,"59,25",,
SK02,29,european beech,23.4,A,"384,46",,
SK02,30,european beech,28.9,A,"603,89",,
SK02,31,wych elm,33.1,A,"547,96",,
SK02,32,silver birch,47.8,A,"1163,42",,
SK02,33,european beech,43.2,A,"1426,91",,
SK02,34,wych elm,19.9,A,"142,91",,
SK02,35,european beech,73.6,A,"4460,15",,
SK02,36,european beech,55.3,A,"2419,84",,
SK02,37,european beech,46,A,"1632,06",,
SK02,38,european beech,35.8,A,"954,67",,
SK02,39,european beech,52.4,A,"2156,49",,
SK02,40,european hornbeam,36.7,A,"719,76",,
SK02,41,european beech,33,A,"802,05",,
SK02,42,wych elm,15.8,A,"77,70",,
SK02,43,silver birch,19.9,A,"156,89",,
SK02,44,european beech,27.4,A,"538,82",,
SK02,45,wych elm,36.5,A,"709,44",,
SK02,46,european beech,44.9,A,"1549,72",,
SK02,47,wych elm,53.9,D,"1986,53",,
SK02,48,wych elm,65.4,D,"3310,88",,
SK02,49,european beech,37.8,A,"1072,39",,
SK02,50,european oak,78.9,A,"1345,39",,
SK02,51,european beech,78.8,A,"5161,40",,
SK02,52,wych elm,65.7,A,"3351,14",,
SK02,53,european beech,43.5,A,"1448,19",,
SK02,54,european beech,37.8,A,"1072,39",,
SK02,55,european beech,17.6,A,"209,05",,
SK02,56,european beech,32.6,A,"781,40",,
SK02,57,wych elm,67.4,A,"3585,07",,
SK02,58,european beech,48.1,A,"1795,59",,
SK02,59,european aspen,33,A,"380,00",,
SK02,60,european oak,92.3,A,"1841,19",,
SK02,61,wych elm,58.9,A,"2511,07",,
SK02,62,wych elm,57.6,A,"2367,31",,
SK02,63,european oak,94.3,D,"1921,84",,
SK02,64,european beech,55.8,A,"2466,88",,
SK02,65,european beech,53.9,A,"2290,69",,
SK02,66,wych elm,34.4,A,"606,65",,
SK02,67,european beech,23.7,A,"395,08",,
SK02,68,european beech,62.4,A,"3133,27",,
SK02,69,wych elm,32.1,A,"505,31",,
SK02,70,european aspen,18.8,A,"90,76",,
SK02,71,silver birch,19.4,A,"148,02",,
SK02,72,european hornbeam,26.4,A,"301,51",,
SK02,73,wych elm,37.3,A,"751,26",,
SK02,74,european oak,101.9,A,"2244,11",,
SK02,75,wych elm,46.8,A,"1367,93",,
SK02,76,silver birch,63,A,"2187,28",,
SK02,77,wych elm,43.7,A,"1141,41",,
SK02,78,european oak,78,A,"1314,87",,
SK02,79,european beech,44.7,A,"1534,99",,
SK02,80,european beech,53.9,A,"2290,69",,
SK02,81,wych elm,19.7,A,"139,15",,
SK02,82,european beech,25.7,A,"469,83",,
SK02,83,european beech,43.9,A,"1476,83",,
SK02,84,european oak,77.5,A,"1298,07",,
SK02,85,european hornbeam,55.7,A,"2166,60",,
SK02,86,european aspen,43.7,A,"776,59",,
SK02,87,wych elm,21.2,A,"168,91",,
SK02,88,european beech,47.1,A,"1716,68",,
SK02,89,european oak,65.9,A,"938,57",,
SK02,90,european oak,78.9,A,"1345,39",,
SK02,91,european beech,66.2,A,"3555,60",,
SK02,92,wych elm,27.1,A,"323,09",,
SK02,93,wych elm,33.8,A,"579,10",,
SK02,94,wych elm,45.6,A,"1277,22",,
SK02,95,silver birch,33.9,A,"530,33",,
SK02,96,european beech,43.1,A,"1419,86",,
SK02,97,european beech,27.8,A,"555,79",,
SK02,98,european beech,18.7,A,"237,99",,
SK02,99,silver birch,44.1,A,"967,69",,
SK02,100,european aspen,43.6,A,"772,08",,
SK02,101,wych elm,53.8,A,"1976,81",,
SK02,102,european beech,19.9,A,"271,86",,
SK02,103,wych elm,23.6,A,"224,23",,
SK02,104,european beech,66,A,"3532,67",,
SK02,105,woodland hawthorn,17.6,D,"103,32",,
SK02,106,silver birch,67.5,A,"2561,01",,
SK02,107,european beech,36.8,A,"1012,62",,
SK02,108,european beech,47.2,A,"1724,49",,
SK02,109,european beech,62.7,A,"3165,58",,
SK02,110,wych elm,33.3,A,"556,75",,
SK02,111,woodland hawthorn,11.7,A,"35,14",,
SK02,112,european hornbeam,21.5,A,"175,30",,
SK02,113,european beech,26.7,A,"509,81",,
